,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
162,0.2,0.01,96,1,96-0,32,Bernoulli,Diff-Means-Frac-0.75,-1.1015855498133553
163,0.2,0.01,96,1,96-0,32,Bernoulli,LeastSqs-Prop,-0.005013713993369237
164,0.2,0.01,96,1,96-0,32,Bernoulli,LeastSqs-Num,-0.022877346967319058
165,0.2,0.01,96,1,96-0,33,Bernoulli,Graph-Aware,-0.08210004011911565
166,0.2,0.01,96,1,96-0,33,Bernoulli,Diff-Means-Stnd,-0.026542813638574206
167,0.2,0.01,96,1,96-0,33,Bernoulli,Diff-Means-Frac-0.75,0.48161983717085943
168,0.2,0.01,96,1,96-0,33,Bernoulli,LeastSqs-Prop,-0.015058787944197712
169,0.2,0.01,96,1,96-0,33,Bernoulli,LeastSqs-Num,-0.030022070184169542
170,0.2,0.01,96,1,96-0,34,Bernoulli,Graph-Aware,-0.01454283930386953
171,0.2,0.01,96,1,96-0,34,Bernoulli,Diff-Means-Stnd,-0.021165441201660737
172,0.2,0.01,96,1,96-0,34,Bernoulli,Diff-Means-Frac-0.75,-0.018795164994037612
173,0.2,0.01,96,1,96-0,34,Bernoulli,LeastSqs-Prop,-0.014675284879010477
174,0.2,0.01,96,1,96-0,34,Bernoulli,LeastSqs-Num,0.0009691448462044553
175,0.2,0.01,96,1,96-0,35,Bernoulli,Graph-Aware,-0.12725270404278496
176,0.2,0.01,96,1,96-0,35,Bernoulli,Diff-Means-Stnd,-0.007233407521145744
177,0.2,0.01,96,1,96-0,35,Bernoulli,Diff-Means-Frac-0.75,0.642617928676111
178,0.2,0.01,96,1,96-0,35,Bernoulli,LeastSqs-Prop,0.006245970885015558
179,0.2,0.01,96,1,96-0,35,Bernoulli,LeastSqs-Num,-0.022841453057830103
180,0.2,0.01,96,1,96-0,36,Bernoulli,Graph-Aware,0.1763594423528068
181,0.2,0.01,96,1,96-0,36,Bernoulli,Diff-Means-Stnd,-0.013576196164301764
182,0.2,0.01,96,1,96-0,36,Bernoulli,Diff-Means-Frac-0.75,0.5052396867160557
183,0.2,0.01,96,1,96-0,36,Bernoulli,LeastSqs-Prop,0.00710944673508713
184,0.2,0.01,96,1,96-0,36,Bernoulli,LeastSqs-Num,-0.015812566275074488
185,0.2,0.01,96,1,96-0,37,Bernoulli,Graph-Aware,-0.09469093683572143
186,0.2,0.01,96,1,96-0,37,Bernoulli,Diff-Means-Stnd,-0.01899073548326676
187,0.2,0.01,96,1,96-0,37,Bernoulli,Diff-Means-Frac-0.75,-0.8467169333982003
188,0.2,0.01,96,1,96-0,37,Bernoulli,LeastSqs-Prop,-0.023987398471390798
189,0.2,0.01,96,1,96-0,37,Bernoulli,LeastSqs-Num,-0.016258915293832277
190,0.2,0.01,96,1,96-0,38,Bernoulli,Graph-Aware,0.07491824982515213
191,0.2,0.01,96,1,96-0,38,Bernoulli,Diff-Means-Stnd,-0.016776917578919654
192,0.2,0.01,96,1,96-0,38,Bernoulli,Diff-Means-Frac-0.75,-0.5814454557042209
193,0.2,0.01,96,1,96-0,38,Bernoulli,LeastSqs-Prop,-0.05526724124818029
194,0.2,0.01,96,1,96-0,38,Bernoulli,LeastSqs-Num,-0.038596926253686006
195,0.2,0.01,96,1,96-0,39,Bernoulli,Graph-Aware,-0.13851379179160167
196,0.2,0.01,96,1,96-0,39,Bernoulli,Diff-Means-Stnd,-0.02109751789106023
197,0.2,0.01,96,1,96-0,39,Bernoulli,Diff-Means-Frac-0.75,-0.02112563032084963
198,0.2,0.01,96,1,96-0,39,Bernoulli,LeastSqs-Prop,0.01273217040828074
199,0.2,0.01,96,1,96-0,39,Bernoulli,LeastSqs-Num,0.003322328323113241
200,0.2,0.01,96,1,96-0,40,Bernoulli,Graph-Aware,-0.12006100861915281
201,0.2,0.01,96,1,96-0,40,Bernoulli,Diff-Means-Stnd,-0.014702994153848271
