,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
159,0.03,2,9216,2,96-0,31,Bernoulli,LeastSqs-Num,1.6749208359541423
160,0.03,2,9216,2,96-0,32,Bernoulli,Graph-Aware,1.1017704349389639
161,0.03,2,9216,2,96-0,32,Bernoulli,Diff-Means-Stnd,-0.691940713202619
162,0.03,2,9216,2,96-0,32,Bernoulli,Diff-Means-Frac-0.75,-1.0506083846184024
163,0.03,2,9216,2,96-0,32,Bernoulli,LeastSqs-Prop,-2.1059079716636027
164,0.03,2,9216,2,96-0,32,Bernoulli,LeastSqs-Num,2.076716561310694
165,0.03,2,9216,2,96-0,33,Bernoulli,Graph-Aware,-0.973400958279805
166,0.03,2,9216,2,96-0,33,Bernoulli,Diff-Means-Stnd,-0.6890534267871586
167,0.03,2,9216,2,96-0,33,Bernoulli,Diff-Means-Frac-0.75,-1.0508200675054358
168,0.03,2,9216,2,96-0,33,Bernoulli,LeastSqs-Prop,-2.379910069692728
169,0.03,2,9216,2,96-0,33,Bernoulli,LeastSqs-Num,1.8661628589928279
170,0.03,2,9216,2,96-0,34,Bernoulli,Graph-Aware,-0.07814083539412073
171,0.03,2,9216,2,96-0,34,Bernoulli,Diff-Means-Stnd,-0.6750540819006681
172,0.03,2,9216,2,96-0,34,Bernoulli,Diff-Means-Frac-0.75,-1.0495115783661024
173,0.03,2,9216,2,96-0,34,Bernoulli,LeastSqs-Prop,-2.1764490485404475
174,0.03,2,9216,2,96-0,34,Bernoulli,LeastSqs-Num,1.9203856382809767
175,0.03,2,9216,2,96-0,35,Bernoulli,Graph-Aware,-0.2537561154969778
176,0.03,2,9216,2,96-0,35,Bernoulli,Diff-Means-Stnd,-0.6705747810379097
177,0.03,2,9216,2,96-0,35,Bernoulli,Diff-Means-Frac-0.75,-1.0506045831044286
178,0.03,2,9216,2,96-0,35,Bernoulli,LeastSqs-Prop,-1.64214327726629
179,0.03,2,9216,2,96-0,35,Bernoulli,LeastSqs-Num,2.4380456897627463
180,0.03,2,9216,2,96-0,36,Bernoulli,Graph-Aware,1.5501119000070658
181,0.03,2,9216,2,96-0,36,Bernoulli,Diff-Means-Stnd,-0.6770550077763478
182,0.03,2,9216,2,96-0,36,Bernoulli,Diff-Means-Frac-0.75,-1.0483831854978682
183,0.03,2,9216,2,96-0,36,Bernoulli,LeastSqs-Prop,-2.143934785948947
184,0.03,2,9216,2,96-0,36,Bernoulli,LeastSqs-Num,0.5066895107386903
185,0.03,2,9216,2,96-0,37,Bernoulli,Graph-Aware,0.29442562210248446
186,0.03,2,9216,2,96-0,37,Bernoulli,Diff-Means-Stnd,-0.6619650869137111
187,0.03,2,9216,2,96-0,37,Bernoulli,Diff-Means-Frac-0.75,-1.0489430605176417
188,0.03,2,9216,2,96-0,37,Bernoulli,LeastSqs-Prop,-2.292356469219638
189,0.03,2,9216,2,96-0,37,Bernoulli,LeastSqs-Num,2.0107112499507322
190,0.03,2,9216,2,96-0,38,Bernoulli,Graph-Aware,-1.6808132476772322
191,0.03,2,9216,2,96-0,38,Bernoulli,Diff-Means-Stnd,-0.6774187252927882
192,0.03,2,9216,2,96-0,38,Bernoulli,Diff-Means-Frac-0.75,-1.0488905383187963
193,0.03,2,9216,2,96-0,38,Bernoulli,LeastSqs-Prop,-2.5011302900321866
194,0.03,2,9216,2,96-0,38,Bernoulli,LeastSqs-Num,1.599137252026181
195,0.03,2,9216,2,96-0,39,Bernoulli,Graph-Aware,-0.36620951468488455
196,0.03,2,9216,2,96-0,39,Bernoulli,Diff-Means-Stnd,-0.6849380186364974
197,0.03,2,9216,2,96-0,39,Bernoulli,Diff-Means-Frac-0.75,-1.0500512351166342
198,0.03,2,9216,2,96-0,39,Bernoulli,LeastSqs-Prop,-2.297584927721889
199,0.03,2,9216,2,96-0,39,Bernoulli,LeastSqs-Num,2.0109185970071306
200,0.03,2,9216,2,96-0,40,Bernoulli,Graph-Aware,0.009787374286659623
201,0.03,2,9216,2,96-0,40,Bernoulli,Diff-Means-Stnd,-0.6942295738157221
202,0.03,2,9216,2,96-0,40,Bernoulli,Diff-Means-Frac-0.75,-1.0502581923701464
203,0.03,2,9216,2,96-0,40,Bernoulli,LeastSqs-Prop,-2.124518102031188
204,0.03,2,9216,2,96-0,40,Bernoulli,LeastSqs-Num,2.502550394216654
205,0.03,2,9216,2,96-0,41,Bernoulli,Graph-Aware,-0.6098013755808795
206,0.03,2,9216,2,96-0,41,Bernoulli,Diff-Means-Stnd,-0.6945656338116106
207,0.03,2,9216,2,96-0,41,Bernoulli,Diff-Means-Frac-0.75,-1.049196165085878
208,0.03,2,9216,2,96-0,41,Bernoulli,LeastSqs-Prop,-2.222025434670627
209,0.03,2,9216,2,96-0,41,Bernoulli,LeastSqs-Num,1.7520312506431142
210,0.03,2,9216,2,96-0,42,Bernoulli,Graph-Aware,-0.43930312617917855
211,0.03,2,9216,2,96-0,42,Bernoulli,Diff-Means-Stnd,-0.687823806277692
212,0.03,2,9216,2,96-0,42,Bernoulli,Diff-Means-Frac-0.75,-1.0513812616207323
213,0.03,2,9216,2,96-0,42,Bernoulli,LeastSqs-Prop,-2.1078144576927493
214,0.03,2,9216,2,96-0,42,Bernoulli,LeastSqs-Num,1.5757918133046027
215,0.03,2,9216,2,96-0,43,Bernoulli,Graph-Aware,0.6708970004087076
216,0.03,2,9216,2,96-0,43,Bernoulli,Diff-Means-Stnd,-0.6817457102634554
217,0.03,2,9216,2,96-0,43,Bernoulli,Diff-Means-Frac-0.75,-1.050757999802238
218,0.03,2,9216,2,96-0,43,Bernoulli,LeastSqs-Prop,-2.2543523889221015
219,0.03,2,9216,2,96-0,43,Bernoulli,LeastSqs-Num,2.5533029016311106
220,0.03,2,9216,2,96-0,44,Bernoulli,Graph-Aware,-0.4882607217784304
221,0.03,2,9216,2,96-0,44,Bernoulli,Diff-Means-Stnd,-0.6745944578483182
222,0.03,2,9216,2,96-0,44,Bernoulli,Diff-Means-Frac-0.75,-1.0496230149717414
223,0.03,2,9216,2,96-0,44,Bernoulli,LeastSqs-Prop,-2.1663536138769843
224,0.03,2,9216,2,96-0,44,Bernoulli,LeastSqs-Num,2.0432163494738727
225,0.03,2,9216,2,96-0,45,Bernoulli,Graph-Aware,0.05212377057835924
226,0.03,2,9216,2,96-0,45,Bernoulli,Diff-Means-Stnd,-0.6822193430074613
227,0.03,2,9216,2,96-0,45,Bernoulli,Diff-Means-Frac-0.75,-1.0501602975123203
228,0.03,2,9216,2,96-0,45,Bernoulli,LeastSqs-Prop,-1.8340872427519488
229,0.03,2,9216,2,96-0,45,Bernoulli,LeastSqs-Num,1.7263020745251514
230,0.03,2,9216,2,96-0,46,Bernoulli,Graph-Aware,-0.28488666376954225
231,0.03,2,9216,2,96-0,46,Bernoulli,Diff-Means-Stnd,-0.6806847372230792
232,0.03,2,9216,2,96-0,46,Bernoulli,Diff-Means-Frac-0.75,-1.0506099388218242
233,0.03,2,9216,2,96-0,46,Bernoulli,LeastSqs-Prop,-2.3881828007691164
234,0.03,2,9216,2,96-0,46,Bernoulli,LeastSqs-Num,2.4932125947353505
235,0.03,2,9216,2,96-0,47,Bernoulli,Graph-Aware,0.9081794210342471
236,0.03,2,9216,2,96-0,47,Bernoulli,Diff-Means-Stnd,-0.6742896219402907
237,0.03,2,9216,2,96-0,47,Bernoulli,Diff-Means-Frac-0.75,-1.0522287424795806
238,0.03,2,9216,2,96-0,47,Bernoulli,LeastSqs-Prop,-2.319463575035699
239,0.03,2,9216,2,96-0,47,Bernoulli,LeastSqs-Num,1.7293210414618576
240,0.03,2,9216,2,96-0,48,Bernoulli,Graph-Aware,-0.9947268909454162
241,0.03,2,9216,2,96-0,48,Bernoulli,Diff-Means-Stnd,-0.6851726998421785
242,0.03,2,9216,2,96-0,48,Bernoulli,Diff-Means-Frac-0.75,-1.0499128900112749
243,0.03,2,9216,2,96-0,48,Bernoulli,LeastSqs-Prop,-2.339786979261416
244,0.03,2,9216,2,96-0,48,Bernoulli,LeastSqs-Num,2.4565089201325687
245,0.03,2,9216,2,96-0,49,Bernoulli,Graph-Aware,-1.9685170167299018
246,0.03,2,9216,2,96-0,49,Bernoulli,Diff-Means-Stnd,-0.6775929273223092
247,0.03,2,9216,2,96-0,49,Bernoulli,Diff-Means-Frac-0.75,-1.0484733673986277
248,0.03,2,9216,2,96-0,49,Bernoulli,LeastSqs-Prop,-2.384734095855818
249,0.03,2,9216,2,96-0,49,Bernoulli,LeastSqs-Num,1.8875445200981795
250,0.03,2,9216,2,96-0,50,Bernoulli,Graph-Aware,2.0366697145003427
251,0.03,2,9216,2,96-0,50,Bernoulli,Diff-Means-Stnd,-0.705145939005403
252,0.03,2,9216,2,96-0,50,Bernoulli,Diff-Means-Frac-0.75,-1.0506206898739054
253,0.03,2,9216,2,96-0,50,Bernoulli,LeastSqs-Prop,-2.220754251418313
254,0.03,2,9216,2,96-0,50,Bernoulli,LeastSqs-Num,1.8665852464214494
255,0.03,2,9216,2,96-0,51,Bernoulli,Graph-Aware,4.324818090951491
256,0.03,2,9216,2,96-0,51,Bernoulli,Diff-Means-Stnd,-0.6973985805672583
257,0.03,2,9216,2,96-0,51,Bernoulli,Diff-Means-Frac-0.75,-1.0491134586654756
258,0.03,2,9216,2,96-0,51,Bernoulli,LeastSqs-Prop,-1.9989003907252276
259,0.03,2,9216,2,96-0,51,Bernoulli,LeastSqs-Num,1.9224054857417705
260,0.03,2,9216,2,96-0,52,Bernoulli,Graph-Aware,-1.754814126015473
261,0.03,2,9216,2,96-0,52,Bernoulli,Diff-Means-Stnd,-0.6619741712153314
262,0.03,2,9216,2,96-0,52,Bernoulli,Diff-Means-Frac-0.75,-1.048324933277087
263,0.03,2,9216,2,96-0,52,Bernoulli,LeastSqs-Prop,-2.0369250735977245
264,0.03,2,9216,2,96-0,52,Bernoulli,LeastSqs-Num,1.056291181758424
265,0.03,2,9216,2,96-0,53,Bernoulli,Graph-Aware,0.3546815991814597
266,0.03,2,9216,2,96-0,53,Bernoulli,Diff-Means-Stnd,-0.6564835344392815
267,0.03,2,9216,2,96-0,53,Bernoulli,Diff-Means-Frac-0.75,-1.0504618498415423
268,0.03,2,9216,2,96-0,53,Bernoulli,LeastSqs-Prop,-2.058868563435294
269,0.03,2,9216,2,96-0,53,Bernoulli,LeastSqs-Num,2.4576961643048825
270,0.03,2,9216,2,96-0,54,Bernoulli,Graph-Aware,-0.2622236859494467
271,0.03,2,9216,2,96-0,54,Bernoulli,Diff-Means-Stnd,-0.6863571441458959
272,0.03,2,9216,2,96-0,54,Bernoulli,Diff-Means-Frac-0.75,-1.0504914033710675
273,0.03,2,9216,2,96-0,54,Bernoulli,LeastSqs-Prop,-2.8339871108097903
274,0.03,2,9216,2,96-0,54,Bernoulli,LeastSqs-Num,2.7002770860999368
275,0.03,2,9216,2,96-0,55,Bernoulli,Graph-Aware,-2.4194263610228752
276,0.03,2,9216,2,96-0,55,Bernoulli,Diff-Means-Stnd,-0.6804258343776217
277,0.03,2,9216,2,96-0,55,Bernoulli,Diff-Means-Frac-0.75,-1.0484571947606491
278,0.03,2,9216,2,96-0,55,Bernoulli,LeastSqs-Prop,-2.309538714223546
279,0.03,2,9216,2,96-0,55,Bernoulli,LeastSqs-Num,1.9245363970630665
280,0.03,2,9216,2,96-0,56,Bernoulli,Graph-Aware,0.7364330515067471
281,0.03,2,9216,2,96-0,56,Bernoulli,Diff-Means-Stnd,-0.6794020597981888
282,0.03,2,9216,2,96-0,56,Bernoulli,Diff-Means-Frac-0.75,-1.0507579897695867
283,0.03,2,9216,2,96-0,56,Bernoulli,LeastSqs-Prop,-2.641657250892042
284,0.03,2,9216,2,96-0,56,Bernoulli,LeastSqs-Num,1.9793586316666152
285,0.03,2,9216,2,96-0,57,Bernoulli,Graph-Aware,-0.43342901673498824
286,0.03,2,9216,2,96-0,57,Bernoulli,Diff-Means-Stnd,-0.6613751589965567
287,0.03,2,9216,2,96-0,57,Bernoulli,Diff-Means-Frac-0.75,-1.050117534481701
288,0.03,2,9216,2,96-0,57,Bernoulli,LeastSqs-Prop,-2.420835767313725
289,0.03,2,9216,2,96-0,57,Bernoulli,LeastSqs-Num,1.5929333233797027
290,0.03,2,9216,2,96-0,58,Bernoulli,Graph-Aware,1.5497212065969301
291,0.03,2,9216,2,96-0,58,Bernoulli,Diff-Means-Stnd,-0.6626244622441432
292,0.03,2,9216,2,96-0,58,Bernoulli,Diff-Means-Frac-0.75,-1.0527054275150367
293,0.03,2,9216,2,96-0,58,Bernoulli,LeastSqs-Prop,-2.06733910834393
294,0.03,2,9216,2,96-0,58,Bernoulli,LeastSqs-Num,1.9896403855741034
295,0.03,2,9216,2,96-0,59,Bernoulli,Graph-Aware,2.713130306977166
296,0.03,2,9216,2,96-0,59,Bernoulli,Diff-Means-Stnd,-0.6612971422569389
