,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
183,0.2,2,256,2,16-0,36,Bernoulli,LeastSqs-Prop,-0.5600668536107785
184,0.2,2,256,2,16-0,36,Bernoulli,LeastSqs-Num,1.3482542040694296
185,0.2,2,256,2,16-0,37,Bernoulli,Graph-Aware,0.8312104386091651
186,0.2,2,256,2,16-0,37,Bernoulli,Diff-Means-Stnd,-0.6851229930815648
187,0.2,2,256,2,16-0,37,Bernoulli,Diff-Means-Frac-0.75,-1.1684793113759449
188,0.2,2,256,2,16-0,37,Bernoulli,LeastSqs-Prop,-0.9690921654074738
189,0.2,2,256,2,16-0,37,Bernoulli,LeastSqs-Num,1.2728852600953826
190,0.2,2,256,2,16-0,38,Bernoulli,Graph-Aware,-1.406224184136821
191,0.2,2,256,2,16-0,38,Bernoulli,Diff-Means-Stnd,-0.6690190193204602
192,0.2,2,256,2,16-0,38,Bernoulli,Diff-Means-Frac-0.75,-1.13561077456251
193,0.2,2,256,2,16-0,38,Bernoulli,LeastSqs-Prop,-1.486128973770495
194,0.2,2,256,2,16-0,38,Bernoulli,LeastSqs-Num,1.491631668370253
195,0.2,2,256,2,16-0,39,Bernoulli,Graph-Aware,-3.1727287637078128
196,0.2,2,256,2,16-0,39,Bernoulli,Diff-Means-Stnd,-0.6982020302135635
197,0.2,2,256,2,16-0,39,Bernoulli,Diff-Means-Frac-0.75,-1.1242901298857049
198,0.2,2,256,2,16-0,39,Bernoulli,LeastSqs-Prop,-0.9166275606203484
199,0.2,2,256,2,16-0,39,Bernoulli,LeastSqs-Num,2.081935189712641
200,0.2,2,256,2,16-0,40,Bernoulli,Graph-Aware,-3.2800474781146294
201,0.2,2,256,2,16-0,40,Bernoulli,Diff-Means-Stnd,-0.7158609742495712
202,0.2,2,256,2,16-0,40,Bernoulli,Diff-Means-Frac-0.75,-1.1219041224143327
203,0.2,2,256,2,16-0,40,Bernoulli,LeastSqs-Prop,-1.2488047867931853
204,0.2,2,256,2,16-0,40,Bernoulli,LeastSqs-Num,1.0224159772220067
205,0.2,2,256,2,16-0,41,Bernoulli,Graph-Aware,-0.8894403863430843
206,0.2,2,256,2,16-0,41,Bernoulli,Diff-Means-Stnd,-0.698196789950917
207,0.2,2,256,2,16-0,41,Bernoulli,Diff-Means-Frac-0.75,-1.1314646933974013
208,0.2,2,256,2,16-0,41,Bernoulli,LeastSqs-Prop,-1.032709568518787
209,0.2,2,256,2,16-0,41,Bernoulli,LeastSqs-Num,1.1124679259722967
210,0.2,2,256,2,16-0,42,Bernoulli,Graph-Aware,-1.9359640221676402
211,0.2,2,256,2,16-0,42,Bernoulli,Diff-Means-Stnd,-0.7261518691971353
212,0.2,2,256,2,16-0,42,Bernoulli,Diff-Means-Frac-0.75,-1.1340458398528173
213,0.2,2,256,2,16-0,42,Bernoulli,LeastSqs-Prop,-1.363790781373184
214,0.2,2,256,2,16-0,42,Bernoulli,LeastSqs-Num,1.2296642822272337
215,0.2,2,256,2,16-0,43,Bernoulli,Graph-Aware,-2.0925913980376927
216,0.2,2,256,2,16-0,43,Bernoulli,Diff-Means-Stnd,-0.6841348336437321
217,0.2,2,256,2,16-0,43,Bernoulli,Diff-Means-Frac-0.75,-1.1317657307279747
218,0.2,2,256,2,16-0,43,Bernoulli,LeastSqs-Prop,-1.2612148512011732
219,0.2,2,256,2,16-0,43,Bernoulli,LeastSqs-Num,1.5968647883405511
220,0.2,2,256,2,16-0,44,Bernoulli,Graph-Aware,-3.10567760967395
221,0.2,2,256,2,16-0,44,Bernoulli,Diff-Means-Stnd,-0.7157792769579384
222,0.2,2,256,2,16-0,44,Bernoulli,Diff-Means-Frac-0.75,-1.1409064855625979
223,0.2,2,256,2,16-0,44,Bernoulli,LeastSqs-Prop,-1.2195913430511558
224,0.2,2,256,2,16-0,44,Bernoulli,LeastSqs-Num,1.8040379244962195
225,0.2,2,256,2,16-0,45,Bernoulli,Graph-Aware,-3.3307281975953176
226,0.2,2,256,2,16-0,45,Bernoulli,Diff-Means-Stnd,-0.7394859620264835
227,0.2,2,256,2,16-0,45,Bernoulli,Diff-Means-Frac-0.75,-1.1317797257531759
228,0.2,2,256,2,16-0,45,Bernoulli,LeastSqs-Prop,-1.3332390505491847
229,0.2,2,256,2,16-0,45,Bernoulli,LeastSqs-Num,0.46190397791442567
230,0.2,2,256,2,16-0,46,Bernoulli,Graph-Aware,-1.728604918896259
231,0.2,2,256,2,16-0,46,Bernoulli,Diff-Means-Stnd,-0.6863406165428864
232,0.2,2,256,2,16-0,46,Bernoulli,Diff-Means-Frac-0.75,-1.1316440386537558
233,0.2,2,256,2,16-0,46,Bernoulli,LeastSqs-Prop,-1.308002257570589
234,0.2,2,256,2,16-0,46,Bernoulli,LeastSqs-Num,1.6925336509254394
235,0.2,2,256,2,16-0,47,Bernoulli,Graph-Aware,-3.27360085446276
236,0.2,2,256,2,16-0,47,Bernoulli,Diff-Means-Stnd,-0.7360390852138657
237,0.2,2,256,2,16-0,47,Bernoulli,Diff-Means-Frac-0.75,-1.1415102142859141
238,0.2,2,256,2,16-0,47,Bernoulli,LeastSqs-Prop,-1.707483774991911
239,0.2,2,256,2,16-0,47,Bernoulli,LeastSqs-Num,1.4578629227718083
240,0.2,2,256,2,16-0,48,Bernoulli,Graph-Aware,6.879510851793578
241,0.2,2,256,2,16-0,48,Bernoulli,Diff-Means-Stnd,-0.6944077245617347
242,0.2,2,256,2,16-0,48,Bernoulli,Diff-Means-Frac-0.75,-1.1473730071261825
243,0.2,2,256,2,16-0,48,Bernoulli,LeastSqs-Prop,-0.9433953810237217
244,0.2,2,256,2,16-0,48,Bernoulli,LeastSqs-Num,0.8569275890855678
