,Estimator,graph,rep,n,p,ratio,Bias
349,Graph-Agnostic,sw,69,256,0.5,2,-0.16517585953071381
350,diff_means_frac,sw,70,256,0.5,2,-0.57025754660165
351,diff_means,sw,70,256,0.5,2,-0.9638087645725637
352,SumIPS-Linear,sw,70,256,0.5,2,0.8808413634616714
353,OLS,sw,70,256,0.5,2,0.0649940334709718
354,Graph-Agnostic,sw,70,256,0.5,2,0.06083898662268034
355,diff_means_frac,sw,71,256,0.5,2,-0.7949219094772518
356,diff_means,sw,71,256,0.5,2,-0.8267484145046043
357,SumIPS-Linear,sw,71,256,0.5,2,0.38576486590897174
358,OLS,sw,71,256,0.5,2,-0.150454191560866
359,Graph-Agnostic,sw,71,256,0.5,2,-0.009257114912183286
360,diff_means_frac,sw,72,256,0.5,2,-0.944799635943214
361,diff_means,sw,72,256,0.5,2,-0.8970224919071674
362,SumIPS-Linear,sw,72,256,0.5,2,-0.7789939358099381
363,OLS,sw,72,256,0.5,2,-0.21033669596238525
364,Graph-Agnostic,sw,72,256,0.5,2,-0.07740290242073303
365,diff_means_frac,sw,73,256,0.5,2,-0.6588618489974787
366,diff_means,sw,73,256,0.5,2,-0.8383768622326461
367,SumIPS-Linear,sw,73,256,0.5,2,2.095030595769732
368,OLS,sw,73,256,0.5,2,-0.3430418800254191
369,Graph-Agnostic,sw,73,256,0.5,2,0.13351462285362312
370,diff_means_frac,sw,74,256,0.5,2,-0.6753228869832167
371,diff_means,sw,74,256,0.5,2,-0.8676759539676062
372,SumIPS-Linear,sw,74,256,0.5,2,-0.08937836378946798
373,OLS,sw,74,256,0.5,2,-0.27474336872215693
374,Graph-Agnostic,sw,74,256,0.5,2,0.015481848463871314
375,diff_means_frac,sw,75,256,0.5,2,-0.5947158049393034
376,diff_means,sw,75,256,0.5,2,-0.7785495639716048
377,SumIPS-Linear,sw,75,256,0.5,2,-1.0528790618442259
378,OLS,sw,75,256,0.5,2,-0.32974460534855526
379,Graph-Agnostic,sw,75,256,0.5,2,-0.055302334229723096
380,diff_means_frac,sw,76,256,0.5,2,-0.7130359648109775
381,diff_means,sw,76,256,0.5,2,-0.8046671412089477
382,SumIPS-Linear,sw,76,256,0.5,2,0.5998236285241964
383,OLS,sw,76,256,0.5,2,-0.1220986753602599
384,Graph-Agnostic,sw,76,256,0.5,2,0.05332833237442507
385,diff_means_frac,sw,77,256,0.5,2,-0.8172951811557969
386,diff_means,sw,77,256,0.5,2,-0.8124269505180944
387,SumIPS-Linear,sw,77,256,0.5,2,-1.0059148773474162
388,OLS,sw,77,256,0.5,2,-0.360627081236252
389,Graph-Agnostic,sw,77,256,0.5,2,-0.005124659822270032
390,diff_means_frac,sw,78,256,0.5,2,-0.6631849588610605
391,diff_means,sw,78,256,0.5,2,-1.0011376314310976
392,SumIPS-Linear,sw,78,256,0.5,2,0.27907622810059274
393,OLS,sw,78,256,0.5,2,-0.30676939319504243
394,Graph-Agnostic,sw,78,256,0.5,2,0.00013608869185259532
395,diff_means_frac,sw,79,256,0.5,2,-0.7566730250650096
396,diff_means,sw,79,256,0.5,2,-0.8660716587737562
397,SumIPS-Linear,sw,79,256,0.5,2,-0.7836229301647664
398,OLS,sw,79,256,0.5,2,-0.3294007545717314
399,Graph-Agnostic,sw,79,256,0.5,2,-0.04210263564786901
400,diff_means_frac,sw,80,256,0.5,2,-0.8167289523473005
401,diff_means,sw,80,256,0.5,2,-0.9788402550155766
402,SumIPS-Linear,sw,80,256,0.5,2,-1.6875129198825303
403,OLS,sw,80,256,0.5,2,-0.37182748940521304
404,Graph-Agnostic,sw,80,256,0.5,2,-0.11072556626150735
405,diff_means_frac,sw,81,256,0.5,2,-0.7851219214679752
406,diff_means,sw,81,256,0.5,2,-0.8313275604666387
407,SumIPS-Linear,sw,81,256,0.5,2,0.9612175493222379
408,OLS,sw,81,256,0.5,2,-0.33171419775166416
409,Graph-Agnostic,sw,81,256,0.5,2,0.05207801887121957
410,diff_means_frac,sw,82,256,0.5,2,-0.6932874595165915
411,diff_means,sw,82,256,0.5,2,-0.9319938779532172
412,SumIPS-Linear,sw,82,256,0.5,2,0.12014104468097805
413,OLS,sw,82,256,0.5,2,-0.29696691165366657
414,Graph-Agnostic,sw,82,256,0.5,2,0.003951693054971925
415,diff_means_frac,sw,83,256,0.5,2,-0.682807133757921
416,diff_means,sw,83,256,0.5,2,-0.7928050728688504
417,SumIPS-Linear,sw,83,256,0.5,2,1.3936740784021906
418,OLS,sw,83,256,0.5,2,-0.24692910311412436
419,Graph-Agnostic,sw,83,256,0.5,2,0.07124424982471411
420,diff_means_frac,sw,84,256,0.5,2,-0.6885593995913422
421,diff_means,sw,84,256,0.5,2,-0.8754336663887184
422,SumIPS-Linear,sw,84,256,0.5,2,0.32353914550708635
423,OLS,sw,84,256,0.5,2,-0.04732020640654733
424,Graph-Agnostic,sw,84,256,0.5,2,0.006972121984047761
425,diff_means_frac,sw,85,256,0.5,2,-0.8644806095314449
426,diff_means,sw,85,256,0.5,2,-0.9438253295137806
427,SumIPS-Linear,sw,85,256,0.5,2,-2.6038568536689057
428,OLS,sw,85,256,0.5,2,-0.6002628786758054
429,Graph-Agnostic,sw,85,256,0.5,2,-0.10542450461281021
430,diff_means_frac,sw,86,256,0.5,2,-0.8596445875070136
431,diff_means,sw,86,256,0.5,2,-0.8985340731976357
