,Estimator,rep,n,p,ratio,Bias
282,Graph-Agnostic-VR,40,500,0.05,1.3333333333333333,0.12694189228560426
283,OLS-Prop,40,500,0.05,1.3333333333333333,-0.2336941201431017
284,OLS-Num,40,500,0.05,1.3333333333333333,0.2591826713366789
285,Diff-Means-Stnd,40,500,0.05,1.3333333333333333,-0.5985912084212008
286,Diff-Means-Frac,40,500,0.05,1.3333333333333333,-0.6957502411652059
287,Graph-Agnostic,41,500,0.05,1.3333333333333333,-0.3371323858021642
288,Graph-Aware,41,500,0.05,1.3333333333333333,-0.28865733580448766
289,Graph-Agnostic-VR,41,500,0.05,1.3333333333333333,-0.07935053582964173
290,OLS-Prop,41,500,0.05,1.3333333333333333,-0.2553690375625966
291,OLS-Num,41,500,0.05,1.3333333333333333,-0.09524157498277494
292,Diff-Means-Stnd,41,500,0.05,1.3333333333333333,-0.5537054510743626
293,Diff-Means-Frac,41,500,0.05,1.3333333333333333,-0.72585178543272
294,Graph-Agnostic,42,500,0.05,1.3333333333333333,0.10506586762411528
295,Graph-Aware,42,500,0.05,1.3333333333333333,0.10780443079471104
296,Graph-Agnostic-VR,42,500,0.05,1.3333333333333333,-0.013334046757005166
297,OLS-Prop,42,500,0.05,1.3333333333333333,-0.3394452247418958
298,OLS-Num,42,500,0.05,1.3333333333333333,0.0757271549176134
299,Diff-Means-Stnd,42,500,0.05,1.3333333333333333,-0.6322879690164673
300,Diff-Means-Frac,42,500,0.05,1.3333333333333333,-0.7836485922185922
301,Graph-Agnostic,43,500,0.05,1.3333333333333333,0.5074729236515876
302,Graph-Aware,43,500,0.05,1.3333333333333333,0.5323627627335259
303,Graph-Agnostic-VR,43,500,0.05,1.3333333333333333,-0.008241497590424947
304,OLS-Prop,43,500,0.05,1.3333333333333333,-0.2735744524004461
305,OLS-Num,43,500,0.05,1.3333333333333333,-0.015336536876534877
306,Diff-Means-Stnd,43,500,0.05,1.3333333333333333,-0.5706664498307013
307,Diff-Means-Frac,43,500,0.05,1.3333333333333333,-0.7150499782277565
308,Graph-Agnostic,44,500,0.05,1.3333333333333333,0.43626230035795427
309,Graph-Aware,44,500,0.05,1.3333333333333333,0.3902423928851618
310,Graph-Agnostic-VR,44,500,0.05,1.3333333333333333,0.12207992216281448
311,OLS-Prop,44,500,0.05,1.3333333333333333,-0.20552228414319695
312,OLS-Num,44,500,0.05,1.3333333333333333,0.14560447206308283
313,Diff-Means-Stnd,44,500,0.05,1.3333333333333333,-0.5896532860461577
314,Diff-Means-Frac,44,500,0.05,1.3333333333333333,-0.6827708294385637
315,Graph-Agnostic,45,500,0.05,1.3333333333333333,0.006041323570059685
316,Graph-Aware,45,500,0.05,1.3333333333333333,-0.012075640870348231
317,Graph-Agnostic-VR,45,500,0.05,1.3333333333333333,0.006041323577378192
318,OLS-Prop,45,500,0.05,1.3333333333333333,-0.25433025309241086
319,OLS-Num,45,500,0.05,1.3333333333333333,0.11799016140382267
320,Diff-Means-Stnd,45,500,0.05,1.3333333333333333,-0.5576918269519439
321,Diff-Means-Frac,45,500,0.05,1.3333333333333333,-0.7185722413969622
322,Graph-Agnostic,46,500,0.05,1.3333333333333333,0.24135895994816223
323,Graph-Aware,46,500,0.05,1.3333333333333333,0.1978645525681192
324,Graph-Agnostic-VR,46,500,0.05,1.3333333333333333,-0.03018831253344335
325,OLS-Prop,46,500,0.05,1.3333333333333333,-0.3081117827868719
326,OLS-Num,46,500,0.05,1.3333333333333333,0.027854156851117095
327,Diff-Means-Stnd,46,500,0.05,1.3333333333333333,-0.5822936063992129
328,Diff-Means-Frac,46,500,0.05,1.3333333333333333,-0.7315723150167033
329,Graph-Agnostic,47,500,0.05,1.3333333333333333,-0.09285630335994631
330,Graph-Aware,47,500,0.05,1.3333333333333333,-0.08552385509185917
331,Graph-Agnostic-VR,47,500,0.05,1.3333333333333333,0.07993297219839608
332,OLS-Prop,47,500,0.05,1.3333333333333333,-0.20070726416557552
333,OLS-Num,47,500,0.05,1.3333333333333333,0.09023718141818085
334,Diff-Means-Stnd,47,500,0.05,1.3333333333333333,-0.5400103279806036
335,Diff-Means-Frac,47,500,0.05,1.3333333333333333,-0.6739291702747345
336,Graph-Agnostic,48,500,0.05,1.3333333333333333,-0.2639064398166433
337,Graph-Aware,48,500,0.05,1.3333333333333333,-0.22764734202510709
338,Graph-Agnostic-VR,48,500,0.05,1.3333333333333333,-0.03145584185695859
339,OLS-Prop,48,500,0.05,1.3333333333333333,-0.263186189758436
340,OLS-Num,48,500,0.05,1.3333333333333333,-0.018146556759695585
341,Diff-Means-Stnd,48,500,0.05,1.3333333333333333,-0.5747308557121042
342,Diff-Means-Frac,48,500,0.05,1.3333333333333333,-0.721461993298473
343,Graph-Agnostic,49,500,0.05,1.3333333333333333,-0.10844091051913791
344,Graph-Aware,49,500,0.05,1.3333333333333333,-0.08327324778791372
345,Graph-Agnostic-VR,49,500,0.05,1.3333333333333333,0.013135328962895296
346,OLS-Prop,49,500,0.05,1.3333333333333333,-0.2088784830723551
347,OLS-Num,49,500,0.05,1.3333333333333333,0.07592826279618806
348,Diff-Means-Stnd,49,500,0.05,1.3333333333333333,-0.5267734293403681
349,Diff-Means-Frac,49,500,0.05,1.3333333333333333,-0.7050399667295512
